source,run_key,window_hours,horizon_hours,status,task,experiment,split,macro_f1,weighted_f1,quiet_recall,quiet_precision,B_recall,B_precision,C_recall,C_precision,M_recall,M_precision,X_recall,X_precision,BC_recall,BC_precision,MX_recall,MX_precision
notebook,W24_H24,24,24,ok,5c,baseline_5c,test,0.2187998562718819,0.9335100588135253,0.9260890412175241,0.9818426235187354,0.24878167641325535,0.0733463838652323,0.00835421888053467,0.002482929857231533,0.06230200633579725,0.014654744162940884,0.0,0.0,,,,
notebook,W24_H24,24,24,ok,5c,baseline_5c,val,0.19180434103089955,0.9376966603461101,0.9333620235507112,0.9861321250225382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
notebook,W24_H24,24,24,ok,5c,weighted_5c,test,0.2128675469679327,0.8993852926193584,0.8596224538722452,0.9852877119420301,0.4281189083820663,0.06678703791694383,0.021303258145363407,0.0036242183058555998,0.11826821541710665,0.01361536591295891,0.0,0.0,,,,
notebook,W24_H24,24,24,ok,5c,weighted_5c,val,0.20898645127629695,0.9036103012040445,0.8642458059106795,0.9908466819221968,0.2916666666666667,0.0004682274247491639,0.040329218106995884,0.02414387780241439,0.14507772020725387,0.06583072100313479,0.0,0.0,,,,
notebook,W24_H24,24,24,ok,5c,weighted_thresholded_5c,test,0.2128675469679327,0.8993852926193584,0.8596224538722452,0.9852877119420301,0.4281189083820663,0.06678703791694383,0.021303258145363407,0.0036242183058555998,0.11826821541710665,0.01361536591295891,0.0,0.0,,,,
notebook,W24_H24,24,24,ok,5c,weighted_thresholded_5c,val,0.20898645127629695,0.9036103012040445,0.8642458059106795,0.9908466819221968,0.2916666666666667,0.0004682274247491639,0.040329218106995884,0.02414387780241439,0.14507772020725387,0.06583072100313479,0.0,0.0,,,,
night,W24_H48,24,48,failed,3c,baseline_3c,test,0.3789643715363778,0.8793154044868672,0.8432614203160466,0.9780386575225938,,,,,,,,,0.4601167663598266,0.0912753394581459,0.119431279620853,0.0589060308555399
night,W24_H48,24,48,failed,3c,baseline_3c,val,0.3540823208097714,0.8623517064460212,0.8195549805172336,0.97448190120122,,,,,,,,,0.4340108052482634,0.0666561302303528,0.0483711747285291,0.0674931129476584
night,W24_H48,24,48,failed,3c,weighted_3c,test,0.3657507055156919,0.8634989314026249,0.8123470520137003,0.981898931839976,,,,,,,,,0.5449335577921846,0.0934750552961415,0.1549763033175355,0.0287928150039623
night,W24_H48,24,48,failed,3c,weighted_3c,val,0.3487972500952838,0.8559571889997373,0.8032842377649732,0.9827537018801594,,,,,,,,,0.4203756110110625,0.0599237201114859,0.0829220138203356,0.0440020953378732
night,W24_H48,24,48,failed,3c,weighted_thresholded_3c,test,0.3726049215765698,0.9199736009626972,0.925820376446789,0.972341477965692,,,,,,,,,0.1842114688921522,0.1051931848397455,0.1943127962085308,0.019467261763449
night,W24_H48,24,48,failed,3c,weighted_thresholded_3c,val,0.4022684372151883,0.9273876358029012,0.9396109464562428,0.974869273394209,,,,,,,,,0.1651659377411885,0.1034816247582205,0.2734452122408687,0.0790525114155251
night,W24_H48,24,48,failed,5c,baseline_5c,test,0.2355743943221517,0.8946389199127708,0.8753849915032226,0.9749069738886248,0.3588858970043756,0.0879372377604354,0.0852806552637918,0.0281242551839199,0.0966650555824069,0.0359647545405502,0.024390243902439,0.0161290322580645,,,,
night,W24_H48,24,48,failed,5c,baseline_5c,val,0.2876567823671282,0.8820477747857042,0.8587837939490589,0.9683781055703052,0.0,0.0,0.1232202951074294,0.1650485436893204,0.0091743119266055,0.0111801242236024,0.40625,0.3513513513513513,,,,
night,W24_H48,24,48,failed,5c,weighted_5c,test,0.2268525825048015,0.8685724689891229,0.8238662374735449,0.9804330402092468,0.4561595422416695,0.0852036967182195,0.1614068899060467,0.0360583391636618,0.1715804736587723,0.0203415081366032,0.0,0.0,,,,
night,W24_H48,24,48,failed,5c,weighted_5c,val,0.2877499408142441,0.8601613834075802,0.8097082850652184,0.9781455027897424,0.2083333333333333,0.0002487438435898,0.1713694020191561,0.1519742883379247,0.3363914373088685,0.0997581620314389,0.21875,0.2592592592592592,,,,
night,W24_H48,24,48,failed,5c,weighted_thresholded_5c,test,0.2269272382795878,0.868615773512792,0.8239429361699068,0.9804264372864534,0.4563278357455402,0.0852197279820226,0.1623705131293664,0.036219033800849,0.1706138231029483,0.0203681264785644,0.0,0.0,,,,
night,W24_H48,24,48,failed,5c,weighted_thresholded_5c,val,0.2878051167267869,0.8601676140824105,0.8097082850652184,0.9781455027897424,0.2083333333333333,0.0002487438435898,0.1716282681853481,0.1521340064249655,0.3363914373088685,0.0998185117967332,0.21875,0.2592592592592592,,,,
night,W24_H72,24,72,failed,3c,baseline_3c,test,0.376788851396258,0.8568483358350375,0.816725905408481,0.974358715133904,,,,,,,,,0.531818439394798,0.1116610548608549,0.0647941270347909,0.051185073121533
night,W24_H72,24,72,failed,3c,baseline_3c,val,0.3686084140949541,0.8435024928792958,0.8004913369537109,0.9721149760774388,,,,,,,,,0.4702776691435276,0.0830083180892555,0.0642054574638844,0.1335559265442404
night,W24_H72,24,72,failed,3c,weighted_3c,test,0.3631160698223222,0.8393201878889733,0.7835578594637522,0.9787420327987842,,,,,,,,,0.5880036266787556,0.1095977946302203,0.0925630386211299,0.0210114476162874
night,W24_H72,24,72,failed,3c,weighted_3c,val,0.3509923115559878,0.8283729539257678,0.7716347982171923,0.9779639287056942,,,,,,,,,0.4841611263199061,0.0792446791486637,0.0890850722311396,0.0388927820602662
night,W24_H72,24,72,failed,3c,weighted_thresholded_3c,test,0.3823496156114909,0.892414593236463,0.8854396176437831,0.9696255022755684,,,,,,,,,0.345186150620502,0.1327876356977808,0.1018193424832429,0.0173388411783889
night,W24_H72,24,72,failed,3c,weighted_thresholded_3c,val,0.3823719809889795,0.8890880195251633,0.8855549977943078,0.970120899539232,,,,,,,,,0.2680876026593664,0.0938013136288998,0.1468699839486356,0.0570982839313572
night,W24_H72,24,72,failed,5c,baseline_5c,test,0.2251510458792592,0.8825701922302366,0.8737585286839799,0.9668118714268108,0.3403616513135448,0.0993378142892706,0.0147058823529411,0.0075842454537619,0.0640362225097024,0.0335422666440792,0.0,0.0,,,,
night,W24_H72,24,72,failed,5c,baseline_5c,val,0.2234398461494207,0.8655864115088218,0.8483244345061531,0.9627871243968338,0.6666666666666666,0.000844193531367,0.0886051080550098,0.1872923588039867,0.0708401976935749,0.1365079365079365,0.0,0.0,,,,
night,W24_H72,24,72,failed,5c,weighted_5c,test,0.2185466872131851,0.8444292456899112,0.7983380869598904,0.9750996605036848,0.4546571136131013,0.0931308486326691,0.0725267379679144,0.0158741770299926,0.1151358344113842,0.0200699064156049,0.0,0.0,,,,
night,W24_H72,24,72,failed,5c,weighted_5c,val,0.2279837396107677,0.8335564146370178,0.7813094205874747,0.972848321842564,0.9583333333333334,0.0009267467160931,0.1611001964636542,0.1611318530163097,0.1614497528830313,0.0837964942283027,0.0,0.0,,,,
night,W24_H72,24,72,failed,5c,weighted_thresholded_5c,test,0.2281462422568268,0.88151597214158,0.8685275218029238,0.9703695989136286,0.2641078130330945,0.1102282597861221,0.1151403743315508,0.0200980106178169,0.1316300129366106,0.0197457791577721,0.0,0.0,,,,
night,W24_H72,24,72,failed,5c,weighted_thresholded_5c,val,0.2600136209130281,0.8790443248909087,0.8606078583489253,0.970570070851418,0.75,0.001566715989207,0.2180746561886051,0.1751341117071631,0.3640856672158155,0.1289005540974045,0.0,0.0,,,,
night,W48_H24,48,24,failed,3c,baseline_3c,test,0.349512358996674,0.9060469884406728,0.8690453935077423,0.9863402186951788,,,,,,,,,0.4660666779872078,0.0718806470480397,0.0,0.0
night,W48_H24,48,24,failed,3c,baseline_3c,val,0.3294652453027712,0.8891376934674665,0.8404524224521055,0.9865636874130892,,,,,,,,,0.3842592592592592,0.0409766168484358,0.0051020408163265,0.0096463022508038
night,W48_H24,48,24,failed,3c,weighted_3c,test,0.3472349570895412,0.8821777749683498,0.8245059694216057,0.9895138017197892,,,,,,,,,0.5900266032716364,0.071056578050443,0.0746113989637305,0.0085622547270781
night,W48_H24,48,24,failed,3c,weighted_3c,val,0.3454641256821789,0.876176567972879,0.8118176124831171,0.9940775371424349,,,,,,,,,0.6165824915824916,0.0561560870898497,0.0595238095238095,0.0297872340425531
night,W48_H24,48,24,failed,3c,weighted_thresholded_3c,test,0.3503598033676536,0.9037613508922868,0.8641787050918781,0.987117790568492,,,,,,,,,0.4822550517914756,0.0739583333333333,0.0041450777202072,0.0007461294534601
night,W48_H24,48,24,failed,3c,weighted_thresholded_3c,val,0.3565377788120328,0.8981585583708067,0.851000897903132,0.991900092344224,,,,,,,,,0.5471380471380471,0.0618782426579085,0.0493197278911564,0.0371318822023047
night,W48_H24,48,24,failed,5c,baseline_5c,test,0.2196934817595295,0.9132156366683208,0.8842625005956593,0.9849192955714636,0.4120599739243807,0.065510737086477,0.0004297378599054,0.0002432498175626,0.0032467532467532,0.0018785222291797,0.073170731707317,0.0389610389610389,,,,
night,W48_H24,48,24,failed,5c,baseline_5c,val,0.3069905623183781,0.9034446460026352,0.8672084267077137,0.9860244850335876,0.375,0.0005243227497815,0.0306122448979591,0.056338028169014,0.0,0.0,1.0,0.4,,,,
night,W48_H24,48,24,failed,5c,weighted_5c,test,0.2314144937184483,0.891568014355303,0.8422645557726403,0.9882215146593112,0.5490221642764016,0.0682650844600071,0.106145251396648,0.0346132286995515,0.0649350649350649,0.0067069081153588,0.073170731707317,0.0535714285714285,,,,
night,W48_H24,48,24,failed,5c,weighted_5c,val,0.3484534672445686,0.887935202631113,0.8359553613871472,0.9920574514000196,0.0416666666666666,4.808154630252909e-05,0.0110544217687074,0.0203125,0.0,0.0,1.0,0.6956521739130435,,,,
night,W48_H24,48,24,failed,5c,weighted_thresholded_5c,test,0.2314144937184483,0.891568014355303,0.8422645557726403,0.9882215146593112,0.5490221642764016,0.0682650844600071,0.106145251396648,0.0346132286995515,0.0649350649350649,0.0067069081153588,0.073170731707317,0.0535714285714285,,,,
night,W48_H24,48,24,failed,5c,weighted_thresholded_5c,val,0.3484534672445686,0.887935202631113,0.8359553613871472,0.9920574514000196,0.0416666666666666,4.808154630252909e-05,0.0110544217687074,0.0203125,0.0,0.0,1.0,0.6956521739130435,,,,
night,W48_H48,48,48,ok,3c,baseline_3c,test,0.3638048984160035,0.8801070361837682,0.8451785513749388,0.9777111254504028,,,,,,,,,0.4463803499426627,0.0893514302004428,0.0519353258206761,0.0274185204345576
night,W48_H48,48,48,ok,3c,baseline_3c,val,0.374738954744831,0.8701440738620172,0.8318720184883004,0.974857038290864,,,,,,,,,0.4565217391304347,0.074166121648136,0.0777777777777777,0.1358024691358024
night,W48_H48,48,48,ok,3c,weighted_3c,test,0.3600841875712791,0.8699470231334311,0.8249385741805468,0.9801598531380452,,,,,,,,,0.4989087411682018,0.0926591322867644,0.0955414012738853,0.0164626424651751
night,W48_H48,48,48,ok,3c,weighted_3c,val,0.3590394409601773,0.8583793574137267,0.8067551002880989,0.983215026547662,,,,,,,,,0.415727321524423,0.0594808386452653,0.1161616161616161,0.0692354003612281
night,W48_H48,48,48,ok,3c,weighted_thresholded_3c,test,0.3735302753924929,0.8998396462371973,0.882076001416712,0.97606172333743,,,,,,,,,0.3727296267524877,0.1021336982413461,0.0862322390984811,0.0208382666350935
night,W48_H48,48,48,ok,3c,weighted_thresholded_3c,val,0.3791165256205751,0.8998864371519268,0.8850961500925196,0.9773348391713294,,,,,,,,,0.2989801395598497,0.0719731231425248,0.108080808080808,0.0806938159879336
night,W48_H48,48,48,ok,5c,baseline_5c,test,0.2637376994062694,0.8948883588868337,0.8760611456856306,0.974592361645957,0.3448215764018997,0.0823928705284637,0.1320431161195492,0.05758547008547,0.088,0.0315242701056779,0.073170731707317,1.0,,,,
night,W48_H48,48,48,ok,5c,baseline_5c,val,0.4249767458083779,0.888706287318659,0.8662877397896643,0.9722404773796692,0.0833333333333333,0.000132353914367,0.1428957320367369,0.179504580929759,0.0396659707724425,0.0650684931506849,1.0,1.0,,,,
night,W48_H48,48,48,ok,5c,weighted_5c,test,0.239550140975655,0.8745603476225946,0.8366819814716775,0.978193622853845,0.4036861138948194,0.0794719596507179,0.0854973052425281,0.0227539444516886,0.1175,0.0163637629691525,0.073170731707317,0.15,,,,
night,W48_H48,48,48,ok,5c,weighted_5c,val,0.4723779987507323,0.8734586248207814,0.8288661081659262,0.9797880980507974,0.5416666666666666,0.000747599056875,0.2004321988114532,0.1652561247216035,0.5125260960334029,0.1937647987371744,1.0,1.0,,,,
night,W48_H48,48,48,ok,5c,weighted_thresholded_5c,test,0.2522444321500267,0.9183552495645328,0.9215131669066932,0.9736001825352848,0.2155025924796305,0.1130565968729999,0.1019108280254777,0.0216362407031778,0.0915,0.0194040928851659,0.073170731707317,0.15,,,,
night,W48_H48,48,48,ok,5c,weighted_thresholded_5c,val,0.4363968381496533,0.9228585757125088,0.9220102903631296,0.9768711534643636,0.375,0.0017149390243902,0.2225823878984333,0.166062071745264,0.4561586638830898,0.2664634146341463,1.0,0.5423728813559322,,,,
night,W48_H72,48,72,ok,3c,baseline_3c,test,0.3733975186445737,0.8632780103095231,0.8307218992907608,0.9716226954748296,,,,,,,,,0.4620351164217476,0.1046339301073134,0.0562315027951331,0.0517554479418886
night,W48_H72,48,72,ok,3c,baseline_3c,val,0.3462098272842281,0.8504290447450611,0.8132570633478916,0.9703741964046892,,,,,,,,,0.493988180150805,0.0910319963947724,0.0,0.0
night,W48_H72,48,72,ok,3c,weighted_3c,test,0.3664698569862308,0.8477824492983691,0.796643520380571,0.9792282112987578,,,,,,,,,0.5966285897922814,0.116135709655039,0.0657678395264715,0.0165412290133156
night,W48_H72,48,72,ok,3c,weighted_3c,val,0.4257329621907027,0.8361314472528185,0.7782785142812971,0.980446002531892,,,,,,,,,0.52965151823925,0.0842108673816544,0.3417825020441537,0.2152420185375901
night,W48_H72,48,72,ok,3c,weighted_thresholded_3c,test,0.3827614537089948,0.8998752023739087,0.902246027159244,0.967070530744783,,,,,,,,,0.3073125127815595,0.1296353351490578,0.0710292666885892,0.0209871745044694
night,W48_H72,48,72,ok,3c,weighted_thresholded_3c,val,0.4606527338417006,0.8980326186804777,0.8972055811077184,0.9690985906085098,,,,,,,,,0.3107805176278785,0.1079340363790784,0.3344235486508585,0.2559449311639549
night,W48_H72,48,72,ok,5c,baseline_5c,test,0.2326825081760516,0.8856959369491512,0.8770916120185781,0.9684698287936574,0.3432614602816106,0.1028408910692196,0.0739986422267481,0.0333104133241653,0.057,0.0292808219178082,0.0,0.0,,,,
night,W48_H72,48,72,ok,5c,baseline_5c,val,0.2159896741643237,0.8753328717245449,0.8632628608974606,0.964636779822061,1.0,0.00146717202592,0.1144788040139258,0.1985085227272727,0.0151133501259445,0.0326678765880217,0.0,0.0,,,,
night,W48_H72,48,72,ok,5c,weighted_5c,test,0.2206418309861028,0.8501930319145721,0.8084856240153753,0.9741729991530176,0.4419663337685711,0.0943576761672279,0.060081466395112,0.0149936467598475,0.1426666666666666,0.0233064691788281,0.0,0.0,,,,
night,W48_H72,48,72,ok,5c,weighted_5c,val,0.234905224539366,0.833346209897397,0.7796235457813164,0.9714973751384676,1.0,0.00098131414319,0.1707966414089698,0.1765079365079365,0.2073887489504618,0.0988791032826261,0.0,0.0,,,,
night,W48_H72,48,72,ok,5c,weighted_thresholded_5c,test,0.2313906539277624,0.8982760227173837,0.9037595492352568,0.9664685509496188,0.1942689769559233,0.1230525068735051,0.0845213849287169,0.0153547312922023,0.1196666666666666,0.0286512370311253,0.0,0.0,,,,
night,W48_H72,48,72,ok,5c,weighted_thresholded_5c,val,0.2587885238079511,0.8905153729389278,0.8826807869207282,0.9671867323948434,0.9583333333333334,0.0024429102496016,0.2512799508498873,0.1989622182584725,0.1838790931989924,0.1183144246353322,0.0,0.0,,,,
night,W72_H24,72,24,ok,3c,baseline_3c,test,0.3474059827266348,0.9129722864433572,0.8835288540253287,0.9845425615544036,,,,,,,,,0.3739461358313817,0.0651130073095391,0.0,0.0
night,W72_H24,72,24,ok,3c,baseline_3c,val,0.3485091245260052,0.895087684826568,0.850066840216703,0.9860174102285092,,,,,,,,,0.5175438596491229,0.0578034682080924,0.0159574468085106,0.1343283582089552
night,W72_H24,72,24,ok,3c,weighted_3c,test,0.3399763831344298,0.8851205142507685,0.8320290935795691,0.9868539195126972,,,,,,,,,0.4935011709601873,0.0612697351205187,0.0259605399792315,0.0047782874617737
night,W72_H24,72,24,ok,3c,weighted_3c,val,0.3347618072478706,0.879646168211275,0.8194454216405951,0.9920969940183236,,,,,,,,,0.5153508771929824,0.0484875995543267,0.0230496453900709,0.0149082568807339
night,W72_H24,72,24,ok,3c,weighted_thresholded_3c,test,0.3553115210584294,0.931110399473247,0.9194557025855512,0.9824359622061464,,,,,,,,,0.2547423887587822,0.0686873470676454,0.0269989615784008,0.0045798837414127
night,W72_H24,72,24,ok,3c,weighted_thresholded_3c,val,0.3573865754284162,0.9290623709626884,0.9101135892805492,0.9886292226430476,,,,,,,,,0.3355263157894737,0.0629318854886475,0.0230496453900709,0.0153482880755608
night,W72_H24,72,24,ok,5c,baseline_5c,test,0.2509373061306051,0.9163493489730732,0.8907368587837183,0.984242953098469,0.3585313174946004,0.0618055313158109,0.0039752650176678,0.0016459400146305,0.0,0.0,0.6428571428571429,0.1267605633802817,,,,
night,W72_H24,72,24,ok,5c,baseline_5c,val,0.2739309927626639,0.9038774404280718,0.8711508243626727,0.981875374475734,0.3333333333333333,0.0005139076251043,0.0283687943262411,0.0565371024734982,0.0,0.0,1.0,0.256,,,,
night,W72_H24,72,24,ok,5c,weighted_5c,test,0.3604700036600577,0.892137679924787,0.8451310129057489,0.9864176420944484,0.4699649028077753,0.0585052304331386,0.0494699646643109,0.0176991150442477,0.00542888165038,0.0007606876616461,0.6428571428571429,0.9310344827586208,,,,
night,W72_H24,72,24,ok,5c,weighted_5c,val,0.3360092291111238,0.8821143635316311,0.8265594096171737,0.9901296998642132,0.5,0.0005668666446218,0.0172872340425531,0.0216666666666666,0.0770676691729323,0.0432489451476793,1.0,0.5423728813559322,,,,
night,W72_H24,72,24,ok,5c,weighted_thresholded_5c,test,0.3649458337420775,0.8922692712946222,0.8453636508820752,0.9864083026298608,0.4695599352051836,0.058586249873682,0.0499116607773851,0.0177254901960784,0.00542888165038,0.0007574609907589,0.6428571428571429,1.0,,,,
night,W72_H24,72,24,ok,5c,weighted_thresholded_5c,val,0.3499468424286226,0.882436047496911,0.8270284637694755,0.9901352426412092,0.5,0.0005692869680724,0.0190602836879432,0.0234588106928532,0.0770676691729323,0.04302203567681,1.0,0.6274509803921569,,,,
night,W72_H48,72,48,ok,3c,baseline_3c,test,0.3672640637066861,0.8860892986075221,0.8560062449334974,0.9768306366649822,,,,,,,,,0.3898862493229126,0.0819028577001853,0.0768072289156626,0.0416213275299238
night,W72_H48,72,48,ok,3c,baseline_3c,val,0.3584529450676227,0.8698377334897057,0.826397201710066,0.97917606859648,,,,,,,,,0.5290812025849958,0.0788162906533841,0.036231884057971,0.0495049504950495
night,W72_H48,72,48,ok,3c,weighted_3c,test,0.3560536677598534,0.8699386298995712,0.8234642867865614,0.9808596683633936,,,,,,,,,0.4964791457092006,0.0890517432822562,0.0768072289156626,0.0127351423339437
night,W72_H48,72,48,ok,3c,weighted_3c,val,0.371484595098326,0.8635978227729643,0.811535172949864,0.9843583530543168,,,,,,,,,0.5268333801629671,0.0752347323649787,0.1521739130434782,0.0671232876712328
night,W72_H48,72,48,ok,3c,weighted_thresholded_3c,test,0.3733573134568442,0.9143327269314,0.9091820037829884,0.9754176357928672,,,,,,,,,0.2705254197941654,0.1075411046341726,0.1199799196787148,0.013974973687288
night,W72_H48,72,48,ok,3c,weighted_thresholded_3c,val,0.4055399338229561,0.922702831461419,0.9225495530509134,0.9781920680447038,,,,,,,,,0.3180668727170553,0.1239461294207817,0.1687370600414078,0.0601476014760147
night,W72_H48,72,48,ok,5c,baseline_5c,test,0.2338774955714403,0.90513573057175,0.8936197095705607,0.9747634155494148,0.3112690723049758,0.0881557182607357,0.1667996807661612,0.0554278642149929,0.0292307692307692,0.0113523202549292,0.0,0.0,,,,
night,W72_H48,72,48,ok,5c,baseline_5c,val,0.2186045278728628,0.8936909248854855,0.8749242129809561,0.9714500245971674,0.7916666666666666,0.0014942980731419,0.1669024045261669,0.1532467532467532,0.0085653104925053,0.0108991825613079,0.0,0.0,,,,
night,W72_H48,72,48,ok,5c,weighted_5c,test,0.2969679866600627,0.8776045204304855,0.8403226048578377,0.9790040706393658,0.4028161361887082,0.0790675766947495,0.0409683426443202,0.0094979647218453,0.0635897435897435,0.0101249285539315,0.6428571428571429,0.3068181818181818,,,,
night,W72_H48,72,48,ok,5c,weighted_5c,val,0.4556901851286088,0.867218440774083,0.8166265060240964,0.9812545532662096,0.5833333333333334,0.000710587757588,0.1765205091937765,0.1491752330863017,0.3747323340471092,0.1596715328467153,1.0,1.0,,,,
night,W72_H48,72,48,ok,5c,weighted_thresholded_5c,test,0.2966043499767232,0.8781192130516944,0.8412871168222896,0.978969204230324,0.4041744012314936,0.078880631964019,0.0409683426443202,0.0094120523163427,0.0497435897435897,0.0091165413533834,0.6428571428571429,0.3068181818181818,,,,
night,W72_H48,72,48,ok,5c,weighted_thresholded_5c,val,0.457493511046975,0.8675717947965794,0.8173804897007384,0.9809877418512232,0.5833333333333334,0.0007089684509039,0.1765205091937765,0.1461700632466619,0.3597430406852248,0.1738230729436109,1.0,1.0,,,,
