run_key,source,task,experiment,split,macro_f1,weighted_f1,quiet_precision,quiet_recall,B_precision,B_recall,C_precision,C_recall,M_precision,M_recall,X_precision,X_recall
W24_H24,notebook,5c,baseline_5c,test,0.2187998562718819,0.9335100588135253,0.9818426235187354,0.9260890412175241,0.0733463838652323,0.24878167641325535,0.002482929857231533,0.00835421888053467,0.014654744162940884,0.06230200633579725,0.0,0.0
W24_H24,notebook,5c,baseline_5c,val,0.19180434103089955,0.9376966603461101,0.9861321250225382,0.9333620235507112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W24_H24,notebook,5c,weighted_5c,test,0.2128675469679327,0.8993852926193584,0.9852877119420301,0.8596224538722452,0.06678703791694383,0.4281189083820663,0.0036242183058555998,0.021303258145363407,0.01361536591295891,0.11826821541710665,0.0,0.0
W24_H24,notebook,5c,weighted_5c,val,0.20898645127629695,0.9036103012040445,0.9908466819221968,0.8642458059106795,0.0004682274247491639,0.2916666666666667,0.02414387780241439,0.040329218106995884,0.06583072100313479,0.14507772020725387,0.0,0.0
W24_H24,notebook,5c,weighted_thresholded_5c,test,0.2128675469679327,0.8993852926193584,0.9852877119420301,0.8596224538722452,0.06678703791694383,0.4281189083820663,0.0036242183058555998,0.021303258145363407,0.01361536591295891,0.11826821541710665,0.0,0.0
W24_H24,notebook,5c,weighted_thresholded_5c,val,0.20898645127629695,0.9036103012040445,0.9908466819221968,0.8642458059106795,0.0004682274247491639,0.2916666666666667,0.02414387780241439,0.040329218106995884,0.06583072100313479,0.14507772020725387,0.0,0.0
W24_H48,night,3c,baseline_3c,test,0.3789643715363778,0.8793154044868672,0.9780386575225938,0.8432614203160466,,,,,,,,
W24_H48,night,3c,baseline_3c,val,0.3540823208097714,0.8623517064460212,0.97448190120122,0.8195549805172336,,,,,,,,
W24_H48,night,3c,weighted_3c,test,0.3657507055156919,0.8634989314026249,0.981898931839976,0.8123470520137003,,,,,,,,
W24_H48,night,3c,weighted_3c,val,0.3487972500952838,0.8559571889997373,0.9827537018801594,0.8032842377649732,,,,,,,,
