run_key,source,status,window_hours,horizon_hours,best_5c_test_macro_f1,best_5c_experiment,best_5c_test_weighted_f1,best_5c_test_M_recall,best_5c_test_X_recall,best_5c_test_B_recall,best_5c_test_C_recall,usable_for_comparison,interpretation,best_3c_test_macro_f1,best_3c_experiment,best_3c_test_weighted_f1,best_3c_test_BC_recall,best_3c_test_MX_recall,best_3c_test_quiet_recall
W24_H24,notebook,ok,24,24,0.2187998562718819,baseline,0.9335100588135253,0.06230200633579725,0.0,0.24878167641325535,0.00835421888053467,True,Notebook baseline run; only 5-class summary is available in saved metrics. Best saved 5c test macro F1: 0.219 (baseline). Best-5c X recall on test: 0.000.,,,,,,
W24_H48,night,failed,24,48,0.2355743943221517,baseline,0.8946389199127708,0.0966650555824069,0.024390243902439,0.3588858970043756,0.0852806552637918,True,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.236 (baseline). Best-5c X recall on test: 0.024. Best saved 3c test macro F1: 0.379 (baseline). Best-3c MX recall on test: 0.119.",0.3789643715363778,baseline,0.8793154044868672,0.4601167663598266,0.119431279620853,0.8432614203160466
W24_H72,night,failed,24,72,0.2281462422568268,weighted_thresholded,0.88151597214158,0.1316300129366106,0.0,0.2641078130330945,0.1151403743315508,True,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.228 (weighted_thresholded). Best-5c X recall on test: 0.000. Best saved 3c test macro F1: 0.382 (weighted_thresholded). Best-3c MX recall on test: 0.102.",0.3823496156114909,weighted_thresholded,0.892414593236463,0.345186150620502,0.1018193424832429,0.8854396176437831
W48_H24,night,failed,48,24,0.2314144937184483,weighted,0.891568014355303,0.0649350649350649,0.073170731707317,0.5490221642764016,0.106145251396648,True,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.231 (weighted). Best-5c X recall on test: 0.073. Best saved 3c test macro F1: 0.350 (weighted_thresholded). Best-3c MX recall on test: 0.004.",0.3503598033676536,weighted_thresholded,0.9037613508922868,0.4822550517914756,0.0041450777202072,0.8641787050918781
W48_H48,night,ok,48,48,0.2637376994062694,baseline,0.8948883588868337,0.088,0.073170731707317,0.3448215764018997,0.1320431161195492,True,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.264 (baseline). Best-5c X recall on test: 0.073. Best saved 3c test macro F1: 0.374 (weighted_thresholded). Best-3c MX recall on test: 0.086.,0.3735302753924929,weighted_thresholded,0.8998396462371973,0.3727296267524877,0.0862322390984811,0.882076001416712
W48_H72,night,ok,48,72,0.2326825081760516,baseline,0.8856959369491512,0.057,0.0,0.3432614602816106,0.0739986422267481,True,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.233 (baseline). Best-5c X recall on test: 0.000. Best saved 3c test macro F1: 0.383 (weighted_thresholded). Best-3c MX recall on test: 0.071.,0.3827614537089948,weighted_thresholded,0.8998752023739087,0.3073125127815595,0.0710292666885892,0.902246027159244
W72_H24,night,ok,72,24,0.3649458337420775,weighted_thresholded,0.8922692712946222,0.00542888165038,0.6428571428571429,0.4695599352051836,0.0499116607773851,True,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.365 (weighted_thresholded). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.355 (weighted_thresholded). Best-3c MX recall on test: 0.027.,0.3553115210584294,weighted_thresholded,0.931110399473247,0.2547423887587822,0.0269989615784008,0.9194557025855512
W72_H48,night,ok,72,48,0.2969679866600627,weighted,0.8776045204304855,0.0635897435897435,0.6428571428571429,0.4028161361887082,0.0409683426443202,True,Usable run: metrics_summary_all.csv exists. Best saved 5c test macro F1: 0.297 (weighted). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.373 (weighted_thresholded). Best-3c MX recall on test: 0.120.,0.3733573134568442,weighted_thresholded,0.9143327269314,0.2705254197941654,0.1199799196787148,0.9091820037829884
W72_H72,night,failed,72,72,0.3638020896601915,weighted,0.8588231506083897,0.0690362269309637,0.6428571428571429,0.4345188055118973,0.1514629948364888,True,"Usable run: metrics_summary_all.csv exists. Run still marked failed because JSON export crashed after metric CSVs were written. Failure cause: JSON dump bug, not model training itself. Best saved 5c test macro F1: 0.364 (weighted). Best-5c X recall on test: 0.643. Best saved 3c test macro F1: 0.386 (baseline). Best-3c MX recall on test: 0.062.",0.3859260103258286,baseline,0.8735077881868821,0.4829509481745003,0.0619946091644204,0.8462687890184756
